Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifty,zero,four,six
Afif Hossain,2020-2020,1,1,0,7,7,7,4,175,0,0,0,1,0
Al-Amin Hossain,2014-2020,15,7,5,4,2,2,20,20,0,0,2,0,0
Anamul Haque,2012-2019,38,52,0,1052,120,30.05,1488,70.69,3,3,6,103,19
Liton Das,2015-2020,36,36,3,1079,176,32.69,1133,95.23,3,3,4,113,22
Mahmudullah,2007-2020,188,163,42,4070,128,33.63,5311,76.63,3,21,8,317,57
Mashrafe Mortaza,2001-2020,218,156,28,1773,51,13.85,2021,87.72,0,1,15,150,62
Mehidy Hasan Miraz,2017-2020,41,26,4,393,51,17.86,508,77.36,0,1,0,39,4
Mohammad Mithun,2014-2020,27,23,3,575,63,28.75,718,80.08,0,5,1,49,14
Mohammad Saifuddin,2017-2020,22,13,4,290,51,32.22,337,86.05,0,2,1,24,6
Mosaddek Hossain,2016-2019,35,30,10,549,52,27.45,633,86.72,0,2,1,53,11
Mushfiqur Rahim,2006-2020,218,204,34,6174,144,36.31,7794,79.21,7,38,10,492,82
Mustafizur Rahman,2015-2020,58,27,17,78,18,7.8,136,57.35,0,0,4,9,0
Najmul Hossain Shanto,2018-2020,5,5,0,55,29,11,93,59.13,0,0,0,2,2
Rubel Hossain,2009-2019,101,52,24,140,17,5,249,56.22,0,0,11,14,2
Sabbir Rahman,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24
Shafiul Islam,2010-2020,60,34,12,134,24,6.09,240,55.83,0,0,9,13,2
Shakib Al Hasan,2006-2019,206,194,27,6323,134,37.86,7641,82.75,9,47,10,574,42
Soumya Sarkar,2014-2019,55,54,3,1728,127,33.88,1753,98.57,2,11,5,200,42
Taijul Islam,2014-2020,9,5,1,63,39,15.75,78,80.76,0,0,1,7,1
Tamim Iqbal,2007-2020,207,205,9,7202,158,36.74,9153,78.68,13,47,18,783,91
