Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Ct,St,rat,res
Abdur Razzak,2004-2014,153,152,1327.3,70,6065,207,29.29,4.56,38.4,5,4,32,0,41.35002679,1
Abul Hasan,2012-2018,7,7,36,1,244,0,0,6.77,0,0,0,1,0,34.88492063,0
Abu Hider,2018-2018,2,2,18,2,89,3,29.66,4.94,36,0,0,1,0,46.14481898,1
Abu Jayed,2019-2019,2,2,18,0,114,5,22.8,6.33,21.6,0,1,0,0,59.54385965,1
Afif Hossain,2020-2020,1,1,2,0,12,1,12,6,12,0,0,0,0,13.08333333,0
Aftab Ahmed,2004-2010,85,30,123.1,0,656,12,54.66,5.32,61.5,0,1,29,0,22.28495935,0
Ahmed Kamal,1999-1999,1,1,5,0,39,1,39,7.8,30,0,0,0,0,40.02564103,1
Akram Khan,1988-2003,44,6,19.3,0,138,0,0,7.07,0,0,0,8,0,23,0
Alok Kapali,2002-2011,69,49,242,8,1255,24,52.29,5.18,60.5,0,0,29,0,26.15422217,0
Al-Amin Hossain,2014-2020,15,15,110.3,7,608,22,27.63,5.5,30.1,2,0,1,0,42.09964749,1
Aminul Islam,1988-2002,39,19,68.4,0,411,7,58.71,5.98,58.8,0,0,13,0,22.01703163,0
Aminul Islam,1999-1999,1,1,5,1,33,1,33,6.6,30,0,0,0,0,34.23030303,0
Anisur Rahman,1995-1998,2,2,8,0,68,0,0,8.5,0,0,0,0,0,34,0
Anwar Hossain Monir,2002-2002,1,1,8,0,45,0,0,5.62,0,0,0,0,0,45,1
Arafat Sunny,2014-2015,16,16,138.2,8,600,24,25,4.33,34.5,2,0,5,0,39.09788712,1
Ariful Haque,2018-2018,1,1,3,0,17,0,0,5.66,0,0,0,0,0,17,0
Athar Ali Khan,1988-1998,19,15,70,1,365,6,60.83,5.21,70,0,0,2,0,24.7640574,0
Azhar Hossain,1988-1990,7,7,43.5,1,209,4,52.25,4.76,65.7,0,0,2,0,30.47069869,0
Dolar Mahmud,2008-2009,7,7,35,1,258,8,32.25,7.37,26.2,1,0,0,0,38.05957918,1
Ehsanul Haque,2002-2003,6,3,23.3,0,113,3,37.66,4.8,47,0,0,0,0,38.69321534,1
Elias Sunny,2011-2012,4,4,34,2,161,5,32.2,4.73,40.8,0,0,0,0,41.58987943,1
Enamul Haque,1990-2002,29,28,206.2,3,1083,19,57,5.24,65.1,0,0,6,0,39.3892357,1
Enamul Haque jnr,2005-2009,10,10,96,3,422,14,30.14,4.39,41.1,0,0,8,0,43.66442536,1
Fahim Muntasir,2001-2002,3,3,28.1,0,111,0,0,3.94,0,0,0,2,0,37,1
Faisal Hossain,2004-2010,6,2,12.1,0,53,1,53,4.35,73,0,0,3,0,27.01886792,0
